integer-1,varchar-32,varchar-32,integer-1
10001,BMW,3 Series,1670
10001,Jeep,Cherokee,4175
10002,Nissan,Xterra,6902
10003,Buick,Riviera,3716
10012,BMW,X5,3521
10013,Hummer,H3,3648
10026,Chevrolet,1500,2959
10029,Ford,EXP,2555
10040,GMC,1500 Club Coupe,6351
10045,Mitsubishi,Lancer Evolution,7272
10070,Lexus,GS,1505
10077,Lexus,IS,6590
10112,Chevrolet,2500,274
10114,Mazda,Familia,4547
10124,Isuzu,Trooper,3600
10128,Hyundai,Sonata,822
10143,Volkswagen,Scirocco,7071
10146,GMC,Sierra,1472
10147,Ford,Explorer Sport Trac,2455
10178,Ford,Expedition,7249
10185,BMW,X5,6789
10190,Hyundai,Sonata,36
10205,Volvo,C30,6404
10220,Mitsubishi,Expo,1353
10224,Land Rover,Range Rover,2136
10228,Chevrolet,Camaro,2846
10232,Nissan,200SX,7342
10239,Land Rover,LR2,2523
10241,Chevrolet,Caprice,3835
10246,Toyota,Avalon,856
10254,Mitsubishi,Outlander,2318
10261,Lotus,Exige,7981
10271,Kia,Rio5,1943
10276,Land Rover,Range Rover,5071
10288,Audi,Cabriolet,5560
10298,Mitsubishi,3000GT,2559
10304,BMW,Z3,2944
10309,Mazda,Protege,7221
10330,Dodge,Grand Caravan,3088
10344,Hyundai,Veracruz,6393
10370,Chevrolet,Silverado 3500,1600
10376,Toyota,Corolla,1525
10397,Ford,F-250 Super Duty,6149
10405,Toyota,Solara,4787
10407,GMC,Savana 3500,6629
10410,Honda,Civic,1065
10424,Porsche,Boxster,6153
10429,Pontiac,Grand Prix,4622
10430,Volkswagen,Tiguan,2032
10472,GMC,Envoy,2368
10496,Porsche,911,6414
10499,Mazda,CX-7,3097
10499,Chevrolet,Express 2500,5894
10503,Volkswagen,Eurovan,1410
10555,Saturn,Relay,844
10564,Dodge,Ram Van B150,1348
10574,Toyota,Sequoia,2501
10587,Jaguar,XJ,6331
10603,Oldsmobile,88,1567
10610,Mazda,MX-3,608
10611,Chevrolet,Corvette,4919
10616,Mitsubishi,GTO,324
10616,Mitsubishi,Truck,3997
10640,Suzuki,Forenza,4146
10645,Chevrolet,Cavalier,7067
10650,Bentley,Continental GT,4866
10657,BMW,M6,6821
10666,Mercury,Topaz,4167
10671,Lexus,ES,6274
10679,Saab,9000,889
10712,Ford,Explorer Sport Trac,445
10743,Infiniti,QX,60
10749,Suzuki,SX4,4476
10756,Mitsubishi,Diamante,2109
10764,Acura,RL,1093
10767,Dodge,Ram 2500,540
10771,Scion,tC,3360
10798,Hummer,H1,251
10799,Suzuki,Esteem,4528
10801,Ferrari,458 Italia,6828
10802,Audi,A4,1198
10803,Jeep,Patriot,2339
10819,Lamborghini,Gallardo,5028
10827,Lexus,ES,3612
10833,Lamborghini,Gallardo,2183
10833,Dodge,Stratus,7211
10835,Ford,F250,5960
10841,Maybach,Landaulet,7853
10842,Ford,Transit Connect,2380
10862,Kia,Amanti,213
10879,Buick,Century,5494
10882,Acura,RL,3478
10887,Mazda,MPV,7380
10908,Acura,TSX,4076
10921,Chrysler,300,4226
10924,Volvo,V70,7136
10934,Nissan,Pathfinder,1251
10947,Alfa Romeo,164,3196
10953,Volkswagen,Touareg,4098
10955,Ford,Crown Victoria,6030
10958,Pontiac,Firebird,5739
10965,Mercedes-Benz,E-Class,6591
10973,Dodge,Ram 1500,6107
11007,Buick,Regal,5294
11008,Audi,S6,6444
11025,Ford,F450,7514
11027,Ford,E-Series,6744
11044,GMC,Safari,1135
11054,Foose,Hemisfear,57
11074,Dodge,Spirit,7556
11083,Aston Martin,Virage,664
11084,Chevrolet,Cobalt SS,830
11086,Mercedes-Benz,GL-Class,952
11100,Volvo,C70,754
11104,Mitsubishi,Lancer Evolution,7419
11110,Subaru,Forester,192
11117,GMC,Canyon,4794
11121,Chevrolet,Astro,6803
11127,Lexus,SC,64
11127,Ford,Aerostar,2805
11131,Toyota,Matrix,2699
11169,Audi,A6,2632
11186,Dodge,Stratus,2031
11192,Shelby,GT500,7440
11199,Dodge,Ram 2500 Club,7177
11212,Chrysler,Town & Country,3967
11215,Ford,Mustang,5368
11223,Mercedes-Benz,W123,1945
11238,Mitsubishi,Diamante,6824
11269,GMC,2500 Club Coupe,5497
11283,Hyundai,XG350,5153
11300,Pontiac,Firebird,799
11302,Audi,Coupe GT,2752
11309,Dodge,Ram 3500,7962
11328,GMC,2500,5902
11329,Mercury,Lynx,1369
11331,Ford,EXP,6952
11338,Chevrolet,Impala,4207
11380,Lincoln,Navigator,3030
11384,Chevrolet,Corvette,2617
11390,Chrysler,Concorde,530
11399,Suzuki,XL-7,4577
11402,Toyota,Yaris,1363
11405,Porsche,Boxster,513
11420,Mitsubishi,Pajero,1590
11426,Toyota,Land Cruiser,4580
11444,Mercury,Sable,1693
11464,Mercury,Cougar,656
11495,Toyota,Tundra,797
11510,Dodge,Durango,1433
11545,GMC,3500 Club Coupe,5713
11593,Nissan,Titan,6275
11597,Toyota,Avalon,7607
11599,Suzuki,Swift,2794
11611,Acura,Integra,1150
11632,Chevrolet,Malibu,6974
11637,Oldsmobile,88,2309
11657,Mazda,B2000,3188
11661,Land Rover,Range Rover,2477
11663,Mercedes-Benz,300TE,6835
11668,Rolls-Royce,Phantom,4657
11677,Oldsmobile,Ciera,1607
11684,Nissan,240SX,4717
11686,Pontiac,Grand Prix,579
11704,Subaru,Legacy,4637
11759,Bentley,Continental GT,4943
11760,Rambler,Classic,7471
11774,Ford,F250,5105
11783,Honda,Insight,6959
11789,BMW,3 Series,7119
11796,Mazda,MPV,3084
11799,Isuzu,Axiom,3176
11806,Ford,Tempo,1475
11810,Saab,9-3,7617
11839,Chevrolet,Tahoe,4014
11840,Chevrolet,2500,1436
11848,Ford,F-Series,7020
11864,Mitsubishi,Chariot,7507
11896,Toyota,4Runner,2304
11903,Corbin,Sparrow,5682
11908,Honda,Civic,1479
11920,Mazda,626,1197
11979,Pontiac,LeMans,1750
11983,Dodge,Nitro,5405
11991,Maserati,Spyder,6648
11993,Toyota,Sequoia,866
12019,Chrysler,Town & Country,3455
12022,Bentley,Arnage,4079
12041,Jeep,Liberty,3803
12056,Acura,RL,6518
12070,Acura,NSX,6473
12079,BMW,X5 M,7200
12082,Jeep,Liberty,3754
12089,Lexus,LS,2352
12089,Mitsubishi,Cordia,6889
12108,Saturn,Outlook,7777
12118,Isuzu,Ascender,7852
12140,GMC,1500 Club Coupe,3639
12154,Volkswagen,New Beetle,3035
12172,Buick,Skyhawk,1238
12179,Isuzu,Hombre Space,168
12210,Mazda,MX-5,1498
12257,Chevrolet,Corvette,605
12262,Kia,Rio,2064
12265,Audi,A5,6509
12326,Audi,A8,3350
12331,Lotus,Esprit,2549
12352,Plymouth,Neon,6533
12352,Jeep,Commander,7284
12354,Chevrolet,Impala,112
12361,Hillman,Minx Magnificent,3299
12373,Ford,F-350 Super Duty,1866
12411,Ford,Escape,6795
12412,Mercedes-Benz,G-Class,1136
12425,Nissan,Pathfinder,546
12432,Aston Martin,DBS,3135
12437,Mercedes-Benz,400SEL,5728
12447,Dodge,Ram Van 3500,3331
12450,Lexus,IS,3649
12455,BMW,X3,508
12458,Dodge,D250 Club,6141
12476,GMC,Savana 1500,2522
12477,Chevrolet,Monte Carlo,4112
12477,Pontiac,Bonneville,7475
12482,Volkswagen,Touareg,6555
12489,Geo,Tracker,3288
12501,Pontiac,Bonneville,4162
12510,GMC,Savana 2500,6775
12516,Mercedes-Benz,GLK-Class,220
12526,Suzuki,Samurai,827
12550,Honda,CR-V,3318
12595,Audi,A6,7707
12634,Infiniti,G,3961
12650,Isuzu,i-290,6052
