integer-1,decimal-1,decimal-1,decimal-1
41,9.00,8469.36,0.07
47,1.00,947.04,0.02
49,30.00,28471.20,0.01
107,1.00,1007.10,0.04
231,19.00,21493.37,0.06
241,8.00,9129.92,0.00
255,29.00,33502.25,0.08
379,7.00,8955.59,0.01
407,24.00,31377.60,0.05
448,25.00,33711.00,0.06
461,18.00,24506.28,0.10
493,14.00,19508.86,0.02
559,20.00,29191.00,0.06
573,7.00,10314.99,0.00
617,9.00,13658.49,0.08
640,14.00,21568.96,0.02
683,28.00,44343.04,0.06
701,7.00,11211.90,0.06
736,1.00,1636.73,0.09
770,3.00,5012.31,0.00
771,13.00,21733.01,0.01
775,27.00,45245.79,0.09
787,2.00,3375.56,0.01
878,17.00,30240.79,0.03
970,21.00,39290.37,0.05
978,30.00,56369.10,0.08
1036,4.00,3748.12,0.00
1036,8.00,7496.24,0.00
1073,28.00,27273.96,0.09
1078,6.00,5874.42,0.07
1081,5.00,4910.40,0.03
1103,13.00,13053.30,0.02
1110,23.00,23255.53,0.08
1116,26.00,26444.86,0.09
1171,21.00,22515.57,0.02
1212,14.00,15584.94,0.05
1248,11.00,12641.64,0.05
1275,7.00,8233.89,0.00
1365,11.00,13929.96,0.01
1528,15.00,21442.80,0.07
1624,5.00,7628.10,0.09
1633,9.00,13811.67,0.06
1648,24.00,37191.36,0.05
1664,16.00,25050.56,0.06
1689,23.00,36585.64,0.10
1691,1.00,1592.69,0.09
1729,17.00,27722.24,0.05
1767,28.00,46725.28,0.10
1839,11.00,19149.13,0.02
1924,15.00,27388.80,0.01
1999,6.00,11405.94,0.10
2001,8.00,7224.00,0.04
2042,30.00,28321.20,0.04
2047,7.00,6643.28,0.10
2098,29.00,29002.61,0.07
2153,5.00,5275.75,0.02
2153,17.00,17937.55,0.02
2171,20.00,21463.40,0.01
2200,2.00,2204.40,0.06
2224,23.00,25903.06,0.07
2239,9.00,10271.07,0.06
2259,3.00,3483.75,0.00
2307,2.00,2418.60,0.05
2342,12.00,14932.08,0.01
2358,3.00,3781.05,0.03
2394,4.00,5185.56,0.03
2417,4.00,5277.64,0.06
2434,25.00,33410.75,0.03
2455,13.00,17646.85,0.06
2519,23.00,32694.73,0.10
2565,15.00,22013.40,0.07
2654,18.00,28019.70,0.00
2671,22.00,34620.74,0.10
2676,22.00,34730.74,0.08
2772,13.00,21772.01,0.08
2808,20.00,34216.00,0.04
2809,23.00,39371.40,0.10
2823,26.00,44871.32,0.08
2864,26.00,45938.36,0.06
2901,8.00,14431.20,0.04
2972,16.00,29999.52,0.08
2974,28.00,52555.16,0.05
3029,5.00,4660.10,0.06
3086,7.00,6923.56,0.07
3105,6.00,6048.60,0.01
3205,6.00,6649.20,0.07
3214,24.00,26813.04,0.02
3257,20.00,23205.00,0.04
3317,13.00,15864.03,0.09
3331,7.00,8640.31,0.07
3353,27.00,33921.45,0.08
3379,14.00,17953.18,0.08
3397,12.00,15604.68,0.05
3441,24.00,32266.56,0.06
3471,5.00,6872.35,0.03
3522,19.00,27084.88,0.10
3545,16.00,23176.64,0.03
3547,17.00,24659.18,0.05
3587,3.00,4471.74,0.09
3636,8.00,12317.04,0.08
3701,7.00,11232.90,0.05
3720,26.00,42216.72,0.03
3744,30.00,49432.20,0.00
3760,26.00,43257.76,0.00
3762,1.00,1665.76,0.07
3849,30.00,52585.20,0.06
3898,27.00,48651.03,0.06
3952,4.00,7423.80,0.04
3976,4.00,7519.88,0.07
3991,2.00,3789.98,0.05
4064,13.00,12584.78,0.07
4151,10.00,10551.50,0.03
4153,8.00,8457.20,0.07
4189,21.00,22956.78,0.03
4191,8.00,8761.52,0.07
4192,25.00,27404.75,0.07
4222,22.00,24776.84,0.00
4406,12.00,15724.80,0.07
4408,2.00,2624.80,0.08
4417,2.00,2642.82,0.09
4430,6.00,8006.58,0.07
4441,1.00,1345.44,0.07
4442,17.00,22889.48,0.03
4523,2.00,2855.04,0.09
4527,1.00,1431.52,0.07
4552,17.00,24761.35,0.01
4579,5.00,7417.85,0.10
4588,27.00,40299.66,0.03
4646,24.00,37215.36,0.03
4778,24.00,40386.48,0.05
4794,3.00,5096.37,0.00
4892,9.00,16172.01,0.01
4920,25.00,45623.00,0.04
4980,27.00,50894.46,0.10
4995,15.00,28499.85,0.02
5121,17.00,17444.04,0.02
5216,26.00,29151.46,0.06
5220,2.00,2250.44,0.09
5279,26.00,30791.02,0.08
5353,23.00,28942.05,0.03
5379,8.00,10274.96,0.06
5497,6.00,8414.94,0.05
5545,27.00,39164.58,0.10
5644,30.00,46489.20,0.01
5655,27.00,42137.55,0.10
5672,21.00,33131.07,0.08
5692,17.00,27160.73,0.07
5725,7.00,11415.04,0.06
5758,14.00,23292.50,0.07
5798,13.00,22149.27,0.01
5893,30.00,53966.70,0.07
5941,14.00,25857.16,0.06
5954,21.00,39058.95,0.09
6004,7.00,6370.00,0.10
6009,18.00,16470.00,0.04
6047,1.00,953.04,0.08
6063,26.00,25195.56,0.03
6086,30.00,29762.40,0.09
6155,10.00,10611.50,0.03
6160,28.00,29852.48,0.05
6219,19.00,21378.99,0.04
6243,15.00,17238.60,0.03
6262,24.00,28038.24,0.00
6309,22.00,26736.60,0.05
6348,30.00,37630.20,0.00
6361,24.00,30416.64,0.06
6391,14.00,18163.46,0.03
6418,9.00,11919.69,0.01
6436,10.00,13424.30,0.07
6457,16.00,21815.20,0.10
6491,16.00,22359.84,0.03
6495,22.00,30832.78,0.01
6559,15.00,21983.25,0.09
6582,26.00,38703.08,0.04
6589,5.00,7477.90,0.04
6678,8.00,12677.36,0.09
6685,17.00,27058.56,0.09
6711,4.00,6470.84,0.10
6712,16.00,25899.36,0.04
6747,7.00,11576.18,0.09
6787,30.00,50813.40,0.09
6867,9.00,15964.74,0.02
6917,9.00,16415.19,0.09
6925,18.00,32974.56,0.02
6945,2.00,3703.88,0.00
