integer-1,integer-1,integer-1,integer-1,decimal-1,decimal-1,decimal-1,decimal-1,varchar-4,varchar-4,date-1,date-1,date-1,varchar-28,varchar-12,varchar-48
32,442,72,3,2,2684.88,0.09,0.02,N,O,1995-08-07,1995-10-07,1995-08-23,DELIVER IN PERSON        ,AIR       , express accounts wake according to the
132,281,63,4,23,27169.44,0.10,0.00,A,F,1993-06-16,1993-08-27,1993-06-23,DELIVER IN PERSON        ,AIR       ,refully blithely bold acco
164,1089,90,6,27,26732.16,0.10,0.04,R,F,1992-12-23,1993-01-16,1993-01-10,DELIVER IN PERSON        ,AIR       ,ayers wake carefully a
295,914,17,2,26,47187.66,0.04,0.03,R,F,1994-12-13,1994-11-30,1995-01-06,DELIVER IN PERSON        ,AIR       ,ts above the slyly regular requests x-ray q
322,1833,77,4,10,17348.30,0.06,0.03,R,F,1992-04-12,1992-05-13,1992-04-14,DELIVER IN PERSON        ,AIR       , deposits grow slyly according to th
354,1939,72,2,24,44182.32,0.01,0.01,N,O,1996-05-08,1996-05-17,1996-06-07,DELIVER IN PERSON        ,AIR       ,"y silent requests. regular, even accounts"
418,11,37,2,1,911.01,0.04,0.07,N,O,1995-06-23,1995-06-16,1995-07-23,DELIVER IN PERSON        ,AIR       ,"regular, silent pinto"
451,862,63,3,1,1762.86,0.07,0.05,N,O,1998-07-13,1998-07-03,1998-08-04,DELIVER IN PERSON        ,AIR       , carefully ironic packages solve furiously 
548,568,59,4,21,30839.76,0.08,0.03,A,F,1994-10-27,1994-12-04,1994-11-21,DELIVER IN PERSON        ,AIR       , engage quickly. regular theo
641,1252,64,1,18,20758.50,0.01,0.08,R,F,1993-10-17,1993-10-11,1993-10-29,DELIVER IN PERSON        ,AIR       ,p blithely bold packages. quick
677,1497,15,5,25,34962.25,0.00,0.05,A,F,1994-03-12,1994-02-02,1994-03-28,DELIVER IN PERSON        ,AIR       , packages integrate blithely
771,64,65,3,14,13496.84,0.02,0.05,N,O,1995-07-31,1995-08-13,1995-08-07,DELIVER IN PERSON        ,AIR       ,"r, final packages are slyly iro"
871,1275,50,5,8,9410.16,0.00,0.01,N,O,1995-11-25,1996-01-12,1995-12-12,DELIVER IN PERSON        ,AIR       ,lar ideas-- slyly even accou
899,601,33,1,18,27028.80,0.04,0.05,N,O,1998-08-06,1998-05-09,1998-09-05,DELIVER IN PERSON        ,AIR       ,"re daring, pending deposits. blit"
901,453,54,2,2,2706.90,0.09,0.02,N,O,1998-10-25,1998-09-27,1998-11-01,DELIVER IN PERSON        ,AIR       ,d foxes use slyly
928,478,66,2,24,33083.28,0.05,0.08,A,F,1995-04-06,1995-05-08,1995-04-24,DELIVER IN PERSON        ,AIR       ,s the furiously regular warthogs im
933,992,27,3,26,49217.74,0.05,0.00,A,F,1992-11-09,1992-11-03,1992-11-16,DELIVER IN PERSON        ,AIR       , the deposits affix slyly after t
960,1070,6,1,1,971.07,0.07,0.00,A,F,1994-12-24,1994-10-26,1995-01-20,DELIVER IN PERSON        ,AIR       ,y ironic packages. quickly even 
961,905,6,2,18,32506.20,0.09,0.05,N,O,1995-07-01,1995-08-14,1995-07-04,DELIVER IN PERSON        ,AIR       ,rmanent foxes haggle speci
1089,252,53,3,23,26501.75,0.10,0.05,N,O,1996-06-24,1996-07-25,1996-07-20,DELIVER IN PERSON        ,AIR       ,g dolphins. deposits integrate. s
1090,216,17,1,5,5581.05,0.02,0.05,N,O,1998-02-19,1997-12-25,1998-02-24,DELIVER IN PERSON        ,AIR       ,s above the 
1094,1145,46,1,9,9415.26,0.07,0.06,N,O,1997-12-28,1998-03-16,1998-01-18,DELIVER IN PERSON        ,AIR       ,as. slyly pe
1186,912,81,2,11,19942.01,0.07,0.05,N,O,1996-10-03,1996-10-21,1996-10-17,DELIVER IN PERSON        ,AIR       ,s haggle furiously; slyl
1280,1884,14,2,6,10715.28,0.05,0.06,R,F,1993-03-30,1993-02-16,1993-04-18,DELIVER IN PERSON        ,AIR       ,gular deposits 
1280,1748,75,4,5,8248.70,0.06,0.03,R,F,1993-02-03,1993-02-11,1993-02-23,DELIVER IN PERSON        ,AIR       ,beans haggle. quickly bold instructions h
1283,1371,86,3,18,22902.66,0.02,0.01,N,O,1996-10-14,1996-11-07,1996-10-22,DELIVER IN PERSON        ,AIR       ,equests use along the fluff
1347,642,43,5,9,13883.76,0.01,0.03,N,O,1997-08-28,1997-09-16,1997-09-26,DELIVER IN PERSON        ,AIR       , detect blithely above the fina
1382,1614,15,1,18,27280.98,0.08,0.03,R,F,1993-08-30,1993-10-19,1993-09-03,DELIVER IN PERSON        ,AIR       ,hely regular deposits. fluffy s
1411,164,43,1,9,9577.44,0.06,0.04,A,F,1995-03-08,1995-03-04,1995-03-11,DELIVER IN PERSON        ,AIR       ,accounts. furiou
1447,311,68,2,6,7267.86,0.01,0.05,A,F,1992-10-24,1992-12-10,1992-11-05,DELIVER IN PERSON        ,AIR       ,as! regular packages poach above the
1509,1063,64,3,17,16389.02,0.06,0.05,A,F,1993-07-25,1993-08-28,1993-08-19,DELIVER IN PERSON        ,AIR       , furiously. blithely regular ideas haggle c
1511,972,75,1,29,54316.13,0.01,0.04,N,O,1997-03-17,1997-02-11,1997-03-27,DELIVER IN PERSON        ,AIR       ,s cajole furiously against 
1539,675,38,3,7,11029.69,0.09,0.04,R,F,1995-05-14,1995-04-16,1995-05-30,DELIVER IN PERSON        ,AIR       ,. fluffily reg
1571,416,75,5,10,13164.10,0.03,0.06,R,F,1992-12-12,1993-02-13,1992-12-29,DELIVER IN PERSON        ,AIR       ,lets. carefully regular ideas wake
1635,891,92,2,8,14335.12,0.04,0.05,N,O,1997-04-30,1997-04-21,1997-05-09,DELIVER IN PERSON        ,AIR       ,ravely carefully express 
1734,1178,15,2,4,4316.68,0.06,0.03,A,F,1994-08-20,1994-07-17,1994-08-25,DELIVER IN PERSON        ,AIR       ,final warhorses.
1761,235,17,6,12,13622.76,0.01,0.05,A,F,1994-04-16,1994-03-08,1994-04-21,DELIVER IN PERSON        ,AIR       , sleep furiously. deposits are acco
1766,340,69,2,12,14884.08,0.05,0.01,N,O,1996-10-28,1996-12-18,1996-11-15,DELIVER IN PERSON        ,AIR       ,"heodolites above the final, regular acc"
1793,1177,86,4,4,4312.68,0.00,0.08,R,F,1992-09-27,1992-09-21,1992-10-07,DELIVER IN PERSON        ,AIR       ,equests nod ac
1797,118,71,3,21,21380.31,0.02,0.01,N,O,1996-08-05,1996-08-05,1996-08-06,DELIVER IN PERSON        ,AIR       ,"ns. regular, regular deposit"
1827,205,6,6,7,7736.40,0.10,0.02,N,O,1996-08-28,1996-08-07,1996-08-31,DELIVER IN PERSON        ,AIR       ,egular foxes
1890,1203,15,7,10,11042.00,0.01,0.04,N,O,1996-12-24,1997-02-19,1997-01-01,DELIVER IN PERSON        ,AIR       ,". even, unusual inst"
1920,954,55,1,24,44518.80,0.04,0.05,N,O,1998-09-27,1998-08-23,1998-10-15,DELIVER IN PERSON        ,AIR       ,"thely. bold, pend"
1920,338,23,5,14,17336.62,0.08,0.05,N,O,1998-10-22,1998-08-10,1998-10-27,DELIVER IN PERSON        ,AIR       ,ickly ironic d
1952,1417,96,2,6,7910.46,0.06,0.05,A,F,1994-05-09,1994-05-21,1994-05-26,DELIVER IN PERSON        ,AIR       ,packages haggle. 
1958,1018,19,3,4,3676.04,0.04,0.02,N,O,1995-10-24,1995-12-09,1995-10-28,DELIVER IN PERSON        ,AIR       ,he slyly even dependencies 
1988,538,29,3,8,11508.24,0.06,0.01,N,O,1995-10-20,1995-11-11,1995-11-18,DELIVER IN PERSON        ,AIR       ,le quickly ac
2054,104,83,7,4,4016.40,0.00,0.08,R,F,1992-08-12,1992-08-31,1992-08-15,DELIVER IN PERSON        ,AIR       ,lyly careful requests wake fl
2084,1799,42,2,23,39118.17,0.09,0.08,A,F,1993-06-05,1993-05-26,1993-06-06,DELIVER IN PERSON        ,AIR       ,es against 
2151,1670,94,1,23,36148.41,0.06,0.02,N,O,1996-11-20,1996-12-17,1996-11-30,DELIVER IN PERSON        ,AIR       , silent dependencies about the slyl
2151,177,30,4,28,30160.76,0.10,0.08,N,O,1996-12-11,1996-12-26,1996-12-12,DELIVER IN PERSON        ,AIR       ,y special packages. carefully ironic instru
2176,1423,2,4,2,2648.84,0.05,0.06,A,F,1993-02-26,1993-01-08,1993-03-23,DELIVER IN PERSON        ,AIR       ,s pinto beans
2177,801,35,3,23,39141.40,0.07,0.05,N,O,1997-01-28,1997-03-02,1997-02-13,DELIVER IN PERSON        ,AIR       ,he silent foxes. iro
2209,1028,29,2,10,9290.20,0.00,0.02,R,F,1992-09-02,1992-09-24,1992-09-21,DELIVER IN PERSON        ,AIR       ,players. carefully reg
2209,1775,60,6,7,11737.39,0.09,0.07,A,F,1992-08-18,1992-09-09,1992-09-12,DELIVER IN PERSON        ,AIR       , quickly regular pack
2211,848,15,4,23,40223.32,0.03,0.02,R,F,1994-10-05,1994-09-13,1994-10-17,DELIVER IN PERSON        ,AIR       ,ependencies 
2246,1628,52,4,13,19885.06,0.08,0.05,N,O,1996-09-15,1996-07-21,1996-10-08,DELIVER IN PERSON        ,AIR       ,equests. fluffily special epitaphs use
