integer-1,integer-1,integer-1,integer-1,decimal-1,decimal-1,decimal-1,decimal-1,varchar-4,varchar-4,date-1,date-1,date-1,varchar-28,varchar-12,varchar-48
5,3843,31,2,30.00,27150.00,0.01,0.05,N,O,1997-02-14,1997-03-25,1997-03-13,DELIVER IN PERSON        ,AIR       , wake. slyly even packages boost 
5,5409,81,4,9.00,8145.00,0.07,0.03,A,F,1992-02-15,1992-04-02,1992-02-28,DELIVER IN PERSON        ,AIR       ," unusual, unusual reques"
5,20835,31,2,1.00,905.00,0.02,0.08,N,O,1996-03-18,1996-03-17,1996-04-01,DELIVER IN PERSON        ,AIR       ,dependencies between the carefull
11,418,37,2,1.00,911.01,0.04,0.07,N,O,1995-06-23,1995-06-16,1995-07-23,DELIVER IN PERSON        ,AIR       ,"regular, silent pinto"
24,9570,100,5,19.00,17556.38,0.06,0.07,N,O,1996-06-18,1996-08-07,1996-06-22,DELIVER IN PERSON        ,AIR       ,excuses dazzle carefully accor
25,13315,76,3,8.00,7400.16,0.00,0.05,N,O,1996-12-27,1997-01-01,1996-12-31,DELIVER IN PERSON        ,AIR       ,olites. careful
26,21893,2,5,29.00,26854.58,0.08,0.06,N,O,1996-02-16,1996-01-10,1996-03-13,DELIVER IN PERSON        ,AIR       ,s. furiously special d
38,23686,39,1,7.00,6566.21,0.01,0.01,N,O,1996-12-05,1997-01-26,1996-12-25,DELIVER IN PERSON        ,AIR       ,eposits after the furious
41,11427,92,1,24.00,22584.96,0.05,0.03,R,F,1994-03-03,1994-01-27,1994-03-24,DELIVER IN PERSON        ,AIR       ,"e furiously. final, regular sauternes "
45,14791,46,1,25.00,23626.00,0.06,0.05,R,F,1993-03-06,1993-04-10,1993-03-27,DELIVER IN PERSON        ,AIR       ,bold packages. furiously pending de
47,8322,98,3,18.00,17046.72,0.10,0.03,N,O,1996-07-12,1996-06-12,1996-07-19,DELIVER IN PERSON        ,AIR       ,counts-- ironic instructions wak
50,5665,76,2,14.00,13300.70,0.02,0.00,R,F,1993-06-29,1993-09-16,1993-07-16,DELIVER IN PERSON        ,AIR       ,- special pinto beans sleep quickly blithel
56,25828,82,4,20.00,19121.00,0.06,0.08,A,F,1994-03-14,1994-02-07,1994-03-18,DELIVER IN PERSON        ,AIR       ,y never ironic d
58,9123,9,3,7.00,6706.35,0.00,0.06,R,F,1993-07-20,1993-09-05,1993-08-01,DELIVER IN PERSON        ,AIR       ,"ronic, bold deposits. "
62,2659,38,5,9.00,8658.54,0.08,0.03,A,F,1994-02-07,1994-03-17,1994-03-04,DELIVER IN PERSON        ,AIR       ,ly final packages sleep ac
64,771,65,3,14.00,13496.84,0.02,0.05,N,O,1995-07-31,1995-08-13,1995-08-07,DELIVER IN PERSON        ,AIR       ,"r, final packages are slyly iro"
69,20896,95,1,28.00,27133.68,0.06,0.07,A,F,1993-04-03,1993-03-25,1993-04-28,DELIVER IN PERSON        ,AIR       ,riously pending theodolites? s
71,13600,97,2,7.00,6797.49,0.06,0.05,A,F,1993-08-16,1993-09-01,1993-08-24,DELIVER IN PERSON        ,AIR       ,ests. ironic instructions 
74,13382,75,3,1.00,974.07,0.09,0.08,N,O,1996-01-05,1996-01-16,1996-01-18,DELIVER IN PERSON        ,AIR       ,s detect closely a
77,14181,28,5,3.00,2931.21,0.00,0.01,N,O,1998-05-04,1998-04-08,1998-05-20,DELIVER IN PERSON        ,AIR       ,ly regular ideas cajole fluffi
78,10663,54,1,27.00,26407.89,0.09,0.03,R,F,1994-06-09,1994-08-16,1994-07-08,DELIVER IN PERSON        ,AIR       ,se besides the regular pinto beans. slyly 
